Name,Index,Level,Type,Max_Health,Attack,Defense,Speed,Moves,Evolved_Form,Evolution_Level,Evolution_Item,Abilities,Held_Item,Region,Sub_Region,Mana_Cost,Rarity,Price,Description,Class,Class_Type,Type2
Bulbasaur,1,5,Grass/Poison,45,49,49,45,Growl:1/Tackle:1/Leech Seed:7/Vine Whip:13/Poison Powder:20/Razor Leaf:27/Growth:34/Sleep Powder:41/Solar Beam:48,Ivysaur,16,None,Overgrow,None,Dungeon World,test2,50,1,100,A pet monster,Monster,Pokemon,
Ivysaur,2,16,Grass/Poison,60,62,63,60,Growl:1/Leech Seed:1/Tackle:1/Leech Seed:7/Vine Whip:13/Poison Powder:22/Razor Leaf:30/Growth:38/Sleep Powder:46/Solar Beam:54,Venusaur,32,None,Overgrow,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Venusaur,3,32,Grass/Poison,80,82,83,80,Growl:1/Leech Seed:1/Tackle:1/Vine Whip:1/Leech Seed:7/Vine Whip:13/Poison Powder:22/Razor Leaf:30/Growth:43/Sleep Powder:55/Solar Beam:65,None,None,None,Overgrow,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Charmander,4,5,Fire,39,52,43,65,Growl:1/Scratch:1/Ember:9/Leer:15/Rage:22/Slash:30/Flamethrower:38/Fire Spin:46,Charmeleon,16,None,Blaze,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Charmeleon,5,16,Fire,58,64,58,80,Ember:1/Growl:1/Scratch:1/Ember:9/Leer:15/Rage:24/Slash:33/Flamethrower:42/Fire Spin:56,Charizard,36,None,Blaze,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Charizard,6,36,Fire/Flying,78,84,78,100,Ember:1/Growl:1/Leer:1/Scratch:1/Ember:9/Leer:15/Rage:24/Slash:36/Flamethrower:46/Fire Spin:55,None,None,None,Blaze,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Squirtle,7,5,Water,44,48,65,43,Tackle:1/Bubble:1/Water Gun:15/Withdraw:22/Bubblebeam:28/Bite:35/Rapid Spin:42/Protect:49/Rain Dance:56/Hydro Pump:63,Wartortle,16,None,Torrent,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Wartortle,8,16,Water,59,63,80,58,Bubble:1/Water Gun:1/Withdraw:1/Bubblebeam:34/Bite:42/Rapid Spin:52/Protect:62/Rain Dance:72/Hydro Pump:82,Blastoise,36,None,Torrent,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Blastoise,9,36,Water,79,83,100,78,Water Gun:1/Hydro Pump:1,None,None,None,Torrent,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Caterpie,10,1,Bug,45,30,35,45,Tackle:1/String Shot:1,Metapod,7,None,Shield Dust,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Metapod,11,7,Bug,50,20,55,30,Harden:1,Butterfree,10,None,Shed Skin,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Butterfree,12,10,Bug/Flying,60,45,50,70,Gust:1/Confusion:1/Poison Powder:1/Stun Spore:1/Sleep Powder:1/Silver Wind:1,None,None,None,Compound Eyes,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Weedle,13,1,Bug/Poison,40,35,30,50,Poison Sting:1/String Shot:1,Kakuna,7,None,Shield Dust,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Kakuna,14,7,Bug/Poison,45,25,50,35,Harden:1,Beedrill,10,None,Shed Skin,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Beedrill,15,10,Bug/Poison,65,90,40,75,Poison Jab:1/Twineedle:1/Fury Attack:1/Rage:1/Pursuit:1/Pin Missile:1,None,None,None,Swarm,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Pidgey,16,1,Normal/Flying,40,45,40,56,Tackle:1/Gust:1/Sand Attack:5/Quick Attack:15/Whirlwind:25/Wing Attack:35/Feather Dance:45/Agility:55/Mirror Move:65/Air Slash:75,Pidgeotto,18,None,Keen Eye,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Pidgeotto,17,18,Normal/Flying,63,60,55,71,Gust:1/Quick Attack:1/Sand Attack:1/Whirlwind:30/Wing Attack:38/Feather Dance:47/Agility:56/Mirror Move:65/Air Slash:74,Pidgeot,36,None,Keen Eye,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Pidgeot,18,36,Normal/Flying,83,80,75,101,Quick Attack:1/Wing Attack:1/Feather Dance:1/Agility:1/Mirror Move:75/Air Slash:90,None,None,None,Keen Eye,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Rattata,19,1,Normal,30,56,35,72,Tackle:1/Quick Attack:1/Focus Energy:7/Bite:14/Pursuit:21/Hyper Fang:28/Sucker Punch:35/Assurance:42/Super Fang:49/Double-Edge:56,Raticate,20,None,Run Away,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Raticate,20,20,Normal,55,81,60,97,Quick Attack:1/Swords Dance:1/Scary Face:1/Bite:1/Hyper Fang:35/Sucker Punch:47/Assurance:59/Super Fang:71/Double-Edge:83,None,None,None,Run Away,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Spearow,21,1,Normal/Flying,40,60,30,70,Peck:1/Leer:1/Fury Attack:9/Pursuit:15/Aerial Ace:21/Mirror Move:27/Agility:33/Drill Peck:39/Feather Dance:45/Hyper Voice:51,Fearow,20,None,Keen Eye,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Fearow,22,20,Normal/Flying,65,90,65,100,Pursuit:1/Aerial Ace:1/Mirror Move:1/Agility:1/Drill Peck:45/Feather Dance:55/Hyper Voice:65,None,None,None,Keen Eye,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Ekans,23,1,Poison,35,60,44,55,Wrap:1/Leer:1/Poison Sting:1/Bite:10/Glare:17/Screech:24/Acid:31/Stockpile:38/Swallow:38/Spit Up:38/Mud Bomb:45/Gastro Acid:52/Haze:59/Coil:66/Gunk Shot:73/Belch:80,Arbok,22,None,Intimidate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Arbok,24,22,Poison,60,95,69,80,Wrap:1/Leer:1/Poison Sting:1/Bite:1/Glare:1/Screech:1/Acid:34/Stockpile:41/Swallow:41/Spit Up:41/Mud Bomb:48/Gastro Acid:55/Haze:62/Coil:69/Gunk Shot:76/Belch:83,None,None,None,Intimidate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Pikachu,25,5,Electric/Normal,35,55,40,90,Thundershock:1/Growl:1/Tail Whip:1/Quick Attack:1/Thunder Wave:5/Double Team:10/Slam:15/Thunderbolt:20/Agility:30/Discharge:35/Light Screen:40/Thunder:45/Volt Tackle:50,Raichu,None,Thunder Stone,Static/Electro,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Raichu,26,20,Electric,60,90,55,110,Thunderbolt:1/Quick Attack:1,None,None,None,Static,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Sandshrew,27,1,Ground,50,75,85,40,Scratch:1/Defense Curl:3/Sand Attack:6/Slash:12/Poison Sting:17/Swift:22/Fury Swipes:27/Sand Tomb:32/Sandstorm:37/Earthquake:42,Sandslash,22,None,Sand Veil,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Sandslash,28,22,Ground,75,100,110,65,Scratch:1/Defense Curl:1/Sand Attack:1/Slash:1/Poison Sting:17/Swift:23/Fury Swipes:29/Sand Tomb:35/Sandstorm:41/Earthquake:47,None,None,None,Sand Veil,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Nidoran,29,1,Poison,55,47,52,41,Growl:1/Scratch:1/Tail Whip:8/Double Kick:12/Poison Sting:17/Bite:23/Fury Swipes:30/Crunch:38/Poison Fang:57,Nidorina,16,None,Poison Point,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Nidorina,30,16,Poison,70,62,67,56,Tackle:1/Growl:1/Scratch:1/Tail Whip:8/Double Kick:12/Poison Sting:17/Bite:23/Fury Swipes:32/Crunch:43/Poison Fang:68,Nidoqueen,None,Moon Stone,Poison Point,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
